evt_id,mag,evt_country,evt_longitude,evt_latitude,evt_depth,dip,SoF,rake,rup_width,rup_top_depth,stn_id,stn_country,stn_longitude,stn_latitude,vs30,vs30measured,z1pt0,z2pt5,region,repi,rhypo,rjb,rrup,rx,ry0,PGA,PGV,SA(0.010),SA(0.025),SA(0.040),SA(0.050),SA(0.070),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.350),SA(0.400),SA(0.450),SA(0.500),SA(0.600),SA(0.700),SA(0.750),SA(0.800),SA(0.900),SA(1.000),SA(1.200),SA(1.400),SA(1.600),SA(1.800),SA(2.000),SA(2.500),SA(3.000),SA(3.500),SA(4.000),SA(4.500),SA(5.000),SA(6.000),SA(7.000),SA(8.000),SA(9.000),SA(10.000)
AL-2016-0004,4.0,GR,20.696,39.752,14.6,90.0,U,0.0,0.825951165739942,14.6,AC.DURR.0.HN,AL,19.4573,41.3199,202.0,True,508.7982024505885,2.763068269687714,0,203.3,203.8235756726881,203.3,203.8235756726881,-203.3,203.3,8.556387757287148e-05,0.007238275,8.562353097133068e-05,8.61955917668113e-05,8.76140170190636e-05,9.139359516246629e-05,0.00010415534356788506,9.552089653449445e-05,0.0001432905222476585,0.0001687589543829952,0.00019321225902831242,0.00026882982465979715,0.00023454747543758575,0.00029691739788816773,0.0002246195183880326,0.00022800905507997126,0.00019322908434582655,0.00016834240030999374,0.0001506635803255954,0.00014224888213610154,0.00013362769141347962,0.00014198273620451429,9.422891609265142e-05,6.94849923266355e-05,6.753580478552819e-05,5.494077998093131e-05,4.459371956784427e-05,3.327996818485415e-05,2.4131074322016186e-05,1.3248153039009245e-05,8.69257085753035e-06,6.652118715361515e-06,4.4016050333192275e-06,2.5324652149306848e-06,1.7314781296365222e-06,1.3567324213671336e-06,9.870852941626346e-07,8.162828284888316e-07
AL-2016-0004,4.0,GR,20.696,39.752,14.6,90.0,U,0.0,0.825951165739942,14.6,AC.FIER.0.HN,AL,19.5669,40.7174,374.0,True,386.77597661739526,1.3656784904702302,0,144.0,144.73824650036354,144.0,144.73824650036354,-144.0,144.0,0.00012011237272667018,0.008248115,0.00012017661484808778,0.00012146553614129189,0.00012393324937669847,0.00012692407702936273,0.00015031789652939588,0.00017785176385411942,0.00027713949207935435,0.000397066786313369,0.0003723208231149271,0.00042148032202638007,0.0004272493665013027,0.00037075300943747357,0.0003161981920431544,0.0003461008601306257,0.00022628624453814504,0.00016439507884955618,0.00014569348350354096,0.00013023254628236964,0.00010304691204437805,7.945475774092071e-05,6.792890538563118e-05,5.940509756134868e-05,3.9778109752056006e-05,2.5763130120887356e-05,2.012206003069346e-05,1.5682215639387558e-05,1.1523812922863568e-05,7.094675551793936e-06,5.111837375658354e-06,3.2743087598721274e-06,2.3254628236961653e-06,1.5555770828978296e-06,1.1767525097765294e-06,9.009192741659996e-07,7.474519841128214e-07,6.388522074306721e-07
AL-2016-0004,4.0,GR,20.696,39.752,14.6,90.0,U,0.0,0.825951165739942,14.6,AC.KBN.0.HN,AL,20.7874,40.6232,742.0,True,46.967732810623325,0.6236939259815416,0,97.0,98.09260930365753,97.0,98.09260930365753,-97.0,97.0,5.062432125139574e-05,0.00387254,5.064369585944232e-05,5.096184731789143e-05,5.1577755910530104e-05,5.156653903218735e-05,5.593041456562639e-05,6.700045377371477e-05,8.251033737310907e-05,0.00010552890130676633,0.0001222191064226826,0.0001844325024345725,0.00019437932423406568,0.00018463236681231612,0.00014848393692035505,0.00014424395690679285,0.00011155899313221131,8.538542723560034e-05,7.060820973523069e-05,6.547852732584522e-05,4.468651374322526e-05,4.1821621042863774e-05,3.4912023983725325e-05,2.9257187724656232e-05,2.261322673899854e-05,1.899017503428796e-05,1.4911310182376246e-05,9.645495658558224e-06,4.980803842290691e-06,2.7308000183548916e-06,1.8874947102221452e-06,1.5244757384020027e-06,1.1568680436234598e-06,7.836519096735379e-07,6.266156128749369e-07,4.5275399856220014e-07,3.941203163159693e-07,3.1305287738422396e-07
AL-2016-0004,4.0,GR,20.696,39.752,14.6,90.0,U,0.0,0.825951165739942,14.6,AC.POGR.0.HN,AL,20.679,40.8996,352.0,True,411.04458572292157,1.463756292947018,0,127.4,128.23384888554193,127.4,128.23384888554193,-127.4,127.4,0.0002291852977316413,0.0186626,0.00022925412857601732,0.0002300908057287657,0.00023053540199762407,0.0002341380593780751,0.0002353469329485604,0.0002466800589395971,0.0002999209719934942,0.00032545823497320695,0.0005044332162359216,0.0006851101038580962,0.000716145676658186,0.0008406326319385315,0.0007274966476829498,0.0006569557392177757,0.0006219876308423367,0.0005057491600087696,0.00048480724814284185,0.00036361397623041507,0.0003651583364349702,0.00024940321108635465,0.00016442516047783902,0.000151075035817532,0.00011934146726965886,9.292622863057211e-05,5.9964921762273555e-05,2.5129376494521573e-05,1.555373139655234e-05,1.0370513885985532e-05,8.172005730805117e-06,6.042838278107203e-06,4.537737147751781e-06,3.230970820820566e-06,2.4473189111470275e-06,2.010370513885986e-06,1.8130554266747565e-06,1.5061208465684e-06
AL-2016-0004,4.0,GR,20.696,39.752,14.6,90.0,U,0.0,0.825951165739942,14.6,AC.TPE.0.HN,AL,20.0155,40.2948,686.0,True,69.90273670891227,0.6822739564526507,0,83.7,84.96381582768043,83.7,84.96381582768043,-83.7,83.7,0.0002779384397322225,0.009554625,0.00027853650329113405,0.00028983189978229056,0.00031489142571622316,0.0003793068988900389,0.000552323168462217,0.00116978784804189,0.0005297196290272418,0.0005195454105122545,0.0005152835066001132,0.0004892766643043241,0.0005040079945751098,0.0005255173785135597,0.00032559181779710707,0.00027897141225596914,0.0002473760152549546,0.00019185807589747775,0.00017747395899721108,0.00016681792457159174,0.00016832812428301206,0.00013361596467703038,9.817878684362143e-05,6.794878985178425e-05,4.777166514558999e-05,3.419516348600185e-05,2.5716733033196862e-05,1.5124430870888632e-05,9.241688038218964e-06,5.600281441674782e-06,3.9957579805540125e-06,3.556770150867014e-06,2.4789301137493438e-06,1.7172021026548313e-06,1.2914705837365461e-06,1.0574457128581115e-06,8.764460850545294e-07,7.66826592159402e-07
AL-2016-0004,4.0,GR,20.696,39.752,14.6,90.0,U,0.0,0.825951165739942,14.6,AC.VLO.0.HN,AL,19.4965,40.4704,375.0,True,385.62465423200405,1.3615130611475033,0,129.7,130.5191556822216,129.7,130.5191556822216,-129.7,129.7,0.0003054702676245201,0.0136157,0.0003071104811530951,0.00031976515935615117,0.00036152049884517144,0.0004531782005067989,0.000633543564825909,0.0005879377769166842,0.0008806335496831233,0.0005864581686916532,0.0005600444596268859,0.0006736612400768866,0.0007333997848398791,0.000876808594168243,0.0008130253450464736,0.00044717411144478493,0.0002521171857871954,0.00020986830365109392,0.00018664273732620212,0.00017855077931811577,0.00012226142464552117,0.00010595667225811057,7.411246450112933e-05,5.250518780623353e-05,3.392748798009514e-05,2.3909286045693484e-05,1.92746758577088e-05,1.3886495388333427e-05,1.0474524939709278e-05,6.746442465061974e-06,5.953613109471634e-06,4.586173667868232e-06,2.8378702207175745e-06,1.94918754110731e-06,1.6024840286948143e-06,1.266487536518587e-06,1.124237124808166e-06,9.983021725053918e-07
AL-2016-0011,3.9,GR,21.182,40.7425,10.38,90.0,U,0.0,0.7361297513183839,10.38,AC.DURR.0.HN,AL,19.4573,41.3199,202.0,True,508.7982024505885,2.763068269687714,0,158.6,158.93931043011355,158.6,158.93931043011355,-158.6,158.6,0.00018293046045285598,0.0177221,0.00018295340406764796,0.0001852722387359598,0.00018807237945679716,0.0001882146298685076,0.0002066725130396211,0.0003055615322255816,0.0002329969969357528,0.00033121555271168034,0.0004833276399178109,0.0005424033691423677,0.0007100314582451704,0.0008266808747125676,0.0008494541968970036,0.0005457556861925327,0.00045337449587779725,0.00036870337984938796,0.0003204284847526933,0.0002647586076794828,0.00018547771155287486,0.00017765903748986656,0.00016798804892598392,0.0001317763966288182,0.0001188127444132298,0.0001019639734261955,0.0001009060178552309,5.3194006108100116e-05,3.304951232072115e-05,2.5286922649426666e-05,1.7101660607852835e-05,9.704639198910943e-06,6.021934095741156e-06,3.827504805412654e-06,2.8011604370503687e-06,2.246434817190376e-06,1.862511663004186e-06,1.5453799207680502e-06
AL-2016-0011,3.9,GR,21.182,40.7425,10.38,90.0,U,0.0,0.7361297513183839,10.38,AC.FIER.0.HN,AL,19.5669,40.7174,374.0,True,386.77597661739526,1.3656784904702302,0,136.5,136.89409921541542,136.5,136.89409921541542,-136.5,136.5,0.00012115248326390766,0.006903975,0.00012120856765562144,0.0001226341309213646,0.0001257570118236095,0.0001268384208674726,0.00013335797647514696,0.00016081995380685555,0.0002704063059250611,0.00039609448690429455,0.0004999505437636706,0.00043613211443255343,0.0003589090056237349,0.0002631449067724452,0.0003078574232791014,0.00028367026456537143,0.00018466142872438602,0.00018542366659358699,0.0001448649640804964,0.00012277740104928798,0.00011897589900730627,7.854823002758333e-05,5.584577811994922e-05,4.0703502215333474e-05,2.930409467045321e-05,2.3004287906675573e-05,2.0212304915542003e-05,1.2100972299409076e-05,9.838222022811052e-06,8.561027466056197e-06,9.152972727689883e-06,5.536549178363662e-06,3.072914807808987e-06,2.3122065129274523e-06,1.3541831308346888e-06,1.0028908954637925e-06,7.923194974838503e-07,6.240663223424922e-07
AL-2016-0011,3.9,GR,21.182,40.7425,10.38,90.0,U,0.0,0.7361297513183839,10.38,AC.KBN.0.HN,AL,20.7874,40.6232,742.0,True,46.967732810623325,0.6236939259815416,0,35.9,37.37050173599493,35.9,37.37050173599493,-35.9,35.9,0.0009193302503913161,0.02717405,0.0009226218943268089,0.000942993784829682,0.0009702064415473174,0.0012071451515043364,0.0018507288421632261,0.002932071604472475,0.0026977918045407966,0.002132726262281207,0.002372563515573616,0.001644363773561818,0.0009471532072624189,0.0006401615230481357,0.0004665089505590594,0.0005168039034736633,0.00030555133506345185,0.00025862501465842054,0.0002454385544502965,0.00021095073241117,0.00014236309035195506,0.00011090637475590544,9.934381261694871e-05,6.458270663274411e-05,5.5994656687044e-05,3.6630245802593144e-05,2.7918810195122698e-05,1.6288946786109427e-05,1.2362019649931425e-05,9.008682883553508e-06,6.069860757751118e-06,5.206161125358813e-06,4.438824675092922e-06,3.346708610993561e-06,2.7659802277026306e-06,2.384606364048885e-06,2.074102777197106e-06,1.8737285413469433e-06
AL-2016-0011,3.9,GR,21.182,40.7425,10.38,90.0,U,0.0,0.7361297513183839,10.38,AC.LACI.0.HN,AL,19.7199,41.6359,1490.0,True,0.5293118775193807,0.28092377202371094,0,157.8,158.1410269348217,157.8,158.1410269348217,-157.8,157.8,2.0095547409156032e-05,0.00133386,2.0138375490101105e-05,2.0518219779435383e-05,2.1462986850759434e-05,2.2804933387038386e-05,2.565402048609872e-05,3.354764369076086e-05,4.0473046351200456e-05,4.336649110552534e-05,5.623276042277434e-05,8.446717278581372e-05,6.434868176186567e-05,5.552252808043522e-05,5.596406520065466e-05,5.661413428642809e-05,4.5135698735042036e-05,3.0366129106269726e-05,2.9796617601321552e-05,2.4666935191936085e-05,2.7268231251242782e-05,2.403828014663519e-05,2.138191941182769e-05,1.1602331071262868e-05,8.878669066398822e-06,6.289609601647862e-06,6.984036342685831e-06,3.658741772164807e-06,2.4121387017992894e-06,1.705985224312074e-06,1.2573100906017856e-06,8.407560176003019e-07,5.929649778466653e-07,3.8749216093161277e-07,2.8348110720786404e-07,2.27396715494078e-07,1.8711792508144983e-07,1.4276026981690995e-07
